"scale","level","subID","sub.gender","masc.femi","task"
"183",0.139549914784338,"fac_6",3,"male","masc","fac"
"184",-0.168033152963735,"fac_6",4,"female","masc","fac"
"185",0.244889438192053,"fac_6",5,"female","masc","fac"
"186",0.334452426543164,"fac_6",6,"female","masc","fac"
"187",-0.0666611245201652,"fac_6",7,"male","masc","voi"
"188",-0.228954379110809,"fac_6",8,"male","masc","voi"
"189",-0.0586225875867742,"fac_6",9,"male","masc","voi"
"190",-0.338555191367284,"fac_6",10,"female","masc","voi"
"191",-0.133642943289137,"fac_6",11,"female","masc","voi"
"192",-0.258289958917188,"fac_6",12,"female","masc","voi"
"193",0.146445123934095,"fac_6",13,"male","masc","sti"
"194",0.374192980073174,"fac_6",14,"male","masc","sti"
"195",-0.0278257454192935,"fac_6",15,"male","masc","sti"
"196",-0.0388158191618646,"fac_6",16,"female","masc","sti"
"197",0.245430887585111,"fac_6",17,"female","masc","sti"
"198",-0.00606677317322411,"fac_6",18,"female","masc","sti"
"199",0.202918932233043,"fac_6",19,"male","femi","fac"
"200",0.663465691063973,"fac_6",20,"male","femi","fac"
"201",0.165530728319418,"fac_6",21,"male","femi","fac"
"202",-0.21035475895367,"fac_6",22,"female","femi","fac"
"203",0.796696905102919,"fac_6",23,"female","femi","fac"
"204",-0.0229940663265437,"fac_6",24,"female","femi","fac"
"205",0.0271782770499215,"fac_6",25,"male","femi","voi"
"206",0.0408695221603325,"fac_6",26,"male","femi","voi"
"207",-0.18782943395378,"fac_6",27,"male","femi","voi"
"208",0.370164197790349,"fac_6",28,"female","femi","voi"
"209",0.592408547543002,"fac_6",29,"female","femi","voi"
"210",0.238240783639885,"fac_6",30,"female","femi","voi"
"211",0.469956841020494,"fac_6",31,"male","femi","sti"
"212",-0.314828415100578,"fac_6",32,"male","femi","sti"
"213",0.261004087058633,"fac_6",33,"male","femi","sti"
"214",0.305076949400556,"fac_6",34,"female","femi","sti"
"215",0.181908268146591,"fac_6",35,"female","femi","sti"
"216",0.2755647492964,"fac_6",36,"female","femi","sti"
"217",0.485074197383328,"fac_7",1,"male","masc","fac"
"218",0.179647852252569,"fac_7",2,"male","masc","fac"
"219",0.0110064171388175,"fac_7",3,"male","masc","fac"
"220",0.220161049943107,"fac_7",4,"female","masc","fac"
"221",0.427619316025051,"fac_7",5,"female","masc","fac"
"222",0.615778930666716,"fac_7",6,"female","masc","fac"
"223",-0.210707475924806,"fac_7",7,"male","masc","voi"
"224",-0.120878550696452,"fac_7",8,"male","masc","voi"
"225",-0.262490481973504,"fac_7",9,"male","masc","voi"
"226",0.0355249976676498,"fac_7",10,"female","masc","voi"
"227",0.0766540262315492,"fac_7",11,"female","masc","voi"
"228",-0.0072630204931336,"fac_7",12,"female","masc","voi"
"229",0.514445464483751,"fac_7",13,"male","masc","sti"
"230",0.736935943205362,"fac_7",14,"male","masc","sti"
